timestamp,score,label,service,user,ip
2026-04-19T11:12:52,-0.029177060736417793,NORMAL,unknown,"12,13",local
2026-04-19T11:14:52,-0.0926567808365567,NORMAL,unknown,14,local
2026-04-19T11:25:52,-0.025527674791360755,NORMAL,unknown,26,local
2026-04-19T11:26:52,-0.025527674791360755,NORMAL,unknown,27,local
2026-04-19T11:28:23,-0.025527674791360755,NORMAL,unknown,28,local
2026-04-19T11:36:23,-0.025527674791360755,NORMAL,unknown,36,local
2026-04-19T11:37:23,-0.025527674791360755,NORMAL,unknown,37,local
2026-04-19T11:38:40,0.42447984991869125,ANOMALY,unknown,38,
2026-04-19T12:27:40,0.4704571767212139,ANOMALY,unknown,28,"local,local,local,local"
2026-04-19T11:38:40,-0.09168072987453713,NORMAL,unknown,38,
2026-04-19T12:27:40,0.4704571767212139,ANOMALY,unknown,28,"local,local,local,local"
2026-04-19T12:29:40,0.4084414891980893,ANOMALY,unknown,30,local
2026-04-19T12:57:40,-0.09937285909464466,NORMAL,unknown,58,
2026-04-19T14:23:40,-0.10095525360788704,NORMAL,unknown,23,
2026-04-19T14:31:40,0.3743720569287309,ANOMALY,unknown,31,"local,local,local,local,local,local,local,local,local,local,local,local,local,local"
